sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup,cleaned_title,doi_enriched,doi_enriched_source,doi_confidence,lookup_status
Sheet1,75,https://www.frontiersin.org/articles/10.3389/feart.2022.935508/full,https://www.frontiersin.org/articles/10.3389/feart.2022.935508/full,www.frontiersin.org,10.3389/feart.2022.935508/full,url_or_title,,no,https://www.frontiersin.org/articles/10.3389/feart.2022.935508/full,10.3389/feart.2022.935508/full,url_or_title,exact,existing
Sheet1,76,https://www.sciencedirect.com/science/article/pii/S0013795221003501,https://www.sciencedirect.com/science/article/pii/S0013795221003501,www.sciencedirect.com,,,S0013795221003501,yes,https://www.sciencedirect.com/science/article/pii/S0013795221003501,10.1016/j.enggeo.2021.106339,crossref_pii,high,found
Sheet1,77,https://www.sciencedirect.com/science/article/pii/S0191814121000948,https://www.sciencedirect.com/science/article/pii/S0191814121000948,www.sciencedirect.com,,,S0191814121000948,yes,https://www.sciencedirect.com/science/article/pii/S0191814121000948,10.1016/j.jsg.2021.104370,crossref_pii,high,found
Sheet1,78,重新审视每个裂缝的大小和空间模式：从岩体表面到内部的推断 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005134,www.sciencedirect.com,,,S1674775524005134,yes,重新审视每个裂缝的大小和空间模式：从岩体表面到内部的推断,10.1016/j.jrmge.2024.08.026,crossref_pii,high,found
Sheet1,79,花岗岩经受热-冷却处理的等效导热系数劣化 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775523003475?via%3Dihub,www.sciencedirect.com,,,S1674775523003475,yes,花岗岩经受热-冷却处理的等效导热系数劣化,10.1016/j.jrmge.2023.11.014,crossref_pii,high,found
Sheet1,80,高温和热循环对花岗岩裂缝表面粗糙度的影响——3D形貌洞察 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S167477552400341X,www.sciencedirect.com,,,S167477552400341X,yes,高温和热循环对花岗岩裂缝表面粗糙度的影响——3D形貌洞察,10.1016/j.jrmge.2024.04.025,crossref_pii,high,found
Sheet1,81,不同破坏模式的干热岩石在反复热冲击作用下的裂缝表面损伤及流体流动特性研究 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-023-03526-6?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s00603-023-03526-6,url_or_title,,no,不同破坏模式的干热岩石在反复热冲击作用下的裂缝表面损伤及流体流动特性研究 |岩石力学和岩石工程,10.1007/s00603-023-03526-6,url_or_title,exact,existing
Sheet1,82,循环剪切作用下岩石裂隙中非达西流的各向异性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005547,www.sciencedirect.com,,,S1674775524005547,yes,循环剪切作用下岩石裂隙中非达西流的各向异性,10.1016/j.jrmge.2024.11.026,crossref_pii,high,found
Sheet1,83,基于一阶导数均方根的修正粗糙度指数及其与岩石节理峰值剪切强度的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013795220317956?via%3Dihub,www.sciencedirect.com,,,S0013795220317956,yes,基于一阶导数均方根的修正粗糙度指数及其与岩石节理峰值剪切强度的关系,10.1016/j.enggeo.2020.105898,crossref_pii,high,found
Sheet1,84,用于岩石节理 3D 粗糙度的新粗糙度参数 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-018-1394-3?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s10064-018-1394-3,url_or_title,,no,用于岩石节理 3D 粗糙度的新粗糙度参数 |工程地质与环境通报,10.1007/s10064-018-1394-3,url_or_title,exact,existing
Sheet1,85,基于大型天然岩石痕迹数据集的 JRC 计算统计方法和分形方法的比较评价 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-020-02348-0,link.springer.com,10.1007/s00603-020-02348-0,url_or_title,,no,基于大型天然岩石痕迹数据集的 JRC 计算统计方法和分形方法的比较评价 |岩石力学和岩石工程,10.1007/s00603-020-02348-0,url_or_title,exact,existing
Sheet1,86,使用变异函数方法对天然岩石节理粗糙度的非平稳性、非均质性、尺度效应和各向异性研究 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-021-02321-3?fromPaywallRec=false,link.springer.com,10.1007/s10064-021-02321-3,url_or_title,,no,使用变异函数方法对天然岩石节理粗糙度的非平稳性、非均质性、尺度效应和各向异性研究 |工程地质与环境通报,10.1007/s10064-021-02321-3,url_or_title,exact,existing
Sheet1,87,使用粗糙度参数确定关节粗糙度系数 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-013-0535-z,link.springer.com,10.1007/s00603-013-0535-z,url_or_title,,no,使用粗糙度参数确定关节粗糙度系数 |岩石力学和岩石工程,10.1007/s00603-013-0535-z,url_or_title,exact,existing
Sheet1,88,基于模糊综合评价的天然岩石节理剪切相关粗糙度分类与强度模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920309163?via=ihub,www.sciencedirect.com,,,S1365160920309163,yes,基于模糊综合评价的天然岩石节理剪切相关粗糙度分类与强度模型,10.1016/j.ijrmms.2020.104550,crossref_pii,high,found
Sheet1,89,岩石裂缝表面节理粗糙度系数与分形维数的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160915000143?via%3Dihub,www.sciencedirect.com,,,S1365160915000143,yes,岩石裂缝表面节理粗糙度系数与分形维数的关系,10.1016/j.ijrmms.2015.01.007,crossref_pii,high,found
Sheet1,90,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300879?via%3Dihub,www.sciencedirect.com,,,S1365160916300879,yes,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用,10.1016/j.ijrmms.2016.05.006,crossref_pii,medium,found
Sheet1,91,新的二维不连续性粗糙度参数及其与JRC的相关性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160910001036?via%3Dihub,www.sciencedirect.com,,,S1365160910001036,yes,新的二维不连续性粗糙度参数及其与JRC的相关性,10.1016/j.ijrmms.2010.06.006,crossref_pii,high,found
Sheet1,92,接头粗糙度系数 （JRC） 的研究进展及其工程应用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775523000550?via%3Dihub,www.sciencedirect.com,,,S1674775523000550,yes,接头粗糙度系数 （JRC） 的研究进展及其工程应用,10.1016/j.jrmge.2023.02.002,crossref_pii,high,found
Sheet1,93,三维激光扫描揭示的节理粗糙度系数的几何异质性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S001379521930314X,www.sciencedirect.com,,,S001379521930314X,yes,三维激光扫描揭示的节理粗糙度系数的几何异质性,10.1016/j.enggeo.2019.105415,crossref_pii,high,found
Sheet1,94,估算岩石断裂表面粗糙度系数的不确定性 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-016-0994-z?fromPaywallRec=false,link.springer.com,10.1007/s10064-016-0994-z,url_or_title,,no,估算岩石断裂表面粗糙度系数的不确定性 |工程地质与环境通报,10.1007/s10064-016-0994-z,url_or_title,exact,existing
Sheet1,95,岩石裂缝的三维节理粗糙度系数值的估算 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-017-1150-0,link.springer.com,10.1007/s10064-017-1150-0,url_or_title,,no,岩石裂缝的三维节理粗糙度系数值的估算 |工程地质与环境通报,10.1007/s10064-017-1150-0,url_or_title,exact,existing
Sheet1,96,一种估算岩体中不连续面的 2D 节理粗糙度系数的新方法 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160914002500?via%3Dihub,www.sciencedirect.com,,,S1365160914002500,yes,一种估算岩体中不连续面的 2D 节理粗糙度系数的新方法,10.1016/j.ijrmms.2014.09.009,crossref_pii,high,found
Sheet1,97,循环加热和空气冷却处理下花岗岩裂缝的剪切性能变化 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524001161?via%3Dihub,www.sciencedirect.com,,,S1674775524001161,yes,循环加热和空气冷却处理下花岗岩裂缝的剪切性能变化,10.1016/j.jrmge.2024.03.004,crossref_pii,high,found
Sheet1,98,基于大型天然岩石痕迹数据集的 JRC 计算统计方法和分形方法的比较评价 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-020-02348-0,link.springer.com,10.1007/s00603-020-02348-0,url_or_title,,no,基于大型天然岩石痕迹数据集的 JRC 计算统计方法和分形方法的比较评价 |岩石力学和岩石工程,10.1007/s00603-020-02348-0,url_or_title,exact,existing
Sheet1,99,基于分形理论的采矿诱导裂缝网络重建和各向异性采矿增强渗透率评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003950,www.sciencedirect.com,,,S1674775524003950,yes,基于分形理论的采矿诱导裂缝网络重建和各向异性采矿增强渗透率评估,10.1016/j.jrmge.2024.05.039,crossref_pii,high,found
Sheet1,100,储层岩石在热-机械耦合条件下的热特性及其对地热系统性能的影响 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-025-04587-5,link.springer.com,10.1007/s00603-025-04587-5,url_or_title,,no,储层岩石在热-机械耦合条件下的热特性及其对地热系统性能的影响 |岩石力学和岩石工程,10.1007/s00603-025-04587-5,url_or_title,exact,existing
Sheet1,101,基于 100 次剪切试验和 PSO-RBF 神经网络的表面形貌评估方法 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-025-04566-w,link.springer.com,10.1007/s00603-025-04566-w,url_or_title,,no,基于 100 次剪切试验和 PSO-RBF 神经网络的表面形貌评估方法 |岩石力学和岩石工程,10.1007/s00603-025-04566-w,url_or_title,exact,existing
Sheet1,102,液氮冷却冲击作用下高温花岗闪长岩的损伤机理及渗透率演化 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-025-04520-w,link.springer.com,10.1007/s00603-025-04520-w,url_or_title,,no,液氮冷却冲击作用下高温花岗闪长岩的损伤机理及渗透率演化 |岩石力学和岩石工程,10.1007/s00603-025-04520-w,url_or_title,exact,existing
Sheet1,103,考虑采样方法和几何特性，重新审视尺度对节理粗糙度系数和剪切强度的影响 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524004104,www.sciencedirect.com,,,S1674775524004104,yes,考虑采样方法和几何特性，重新审视尺度对节理粗糙度系数和剪切强度的影响,10.1016/j.jrmge.2024.05.045,crossref_pii,medium,found
Sheet1,104,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,,,S1674775524003664,yes,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型,10.1016/j.jrmge.2024.05.033,crossref_pii,high,found
Sheet1,105,基于遗传算法优化的反向传播神经网络，用于岩石节理粗糙度评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005602,www.sciencedirect.com,,,S1674775524005602,yes,基于遗传算法优化的反向传播神经网络，用于岩石节理粗糙度评估,10.1016/j.jrmge.2024.10.022,crossref_pii,high,found
Sheet1,106,通过将扫描圆技术应用于钻孔电视机的图像来表征花岗岩的节理粗糙度 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-011-0134-9,link.springer.com,10.1007/s00603-011-0134-9,url_or_title,,no,通过将扫描圆技术应用于钻孔电视机的图像来表征花岗岩的节理粗糙度 |岩石力学和岩石工程,10.1007/s00603-011-0134-9,url_or_title,exact,existing
Sheet1,107,使用新型集成直径型芯变形和超声分析确定 3D 应力状态 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-025-04427-6,link.springer.com,10.1007/s00603-025-04427-6,url_or_title,,no,使用新型集成直径型芯变形和超声分析确定 3D 应力状态 |岩石力学和岩石工程,10.1007/s00603-025-04427-6,url_or_title,exact,existing
Sheet1,108,使用直径岩芯变形测定采矿引起的应力 |国际煤炭科学与技术杂志,https://link.springer.com/article/10.1007/s40789-022-00549-2,link.springer.com,10.1007/s40789-022-00549-2,url_or_title,,no,使用直径岩芯变形测定采矿引起的应力 |国际煤炭科学与技术杂志,10.1007/s40789-022-00549-2,url_or_title,exact,existing
Sheet1,109,利用岩心直径变形估算采矿工作面应力的方法 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160922002660,www.sciencedirect.com,,,S1365160922002660,yes,利用岩心直径变形估算采矿工作面应力的方法,10.1016/j.ijrmms.2022.105300,crossref_pii,high,found
Sheet1,110,基于直径岩心变形技术的采矿前沿稳定性评价实用方法,https://www.mdpi.com/2075-163X/14/4/385,www.mdpi.com,,,,yes,基于直径岩心变形技术的采矿前沿稳定性评价实用方法,,unresolved,none,unresolved
Sheet1,111,用于采矿诱导应力估计的直径型芯变形技术验证：案例研究 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-024-03866-x,link.springer.com,10.1007/s00603-024-03866-x,url_or_title,,no,用于采矿诱导应力估计的直径型芯变形技术验证：案例研究 |岩石力学和岩石工程,10.1007/s00603-024-03866-x,url_or_title,exact,existing
Sheet1,112,用于原位应力估计的直径型芯变形分析 （DCDA） 和裂缝表面形态的评估 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-025-04512-w?fromPaywallRec=false,link.springer.com,10.1007/s00603-025-04512-w,url_or_title,,no,用于原位应力估计的直径型芯变形分析 （DCDA） 和裂缝表面形态的评估 |岩石力学和岩石工程,10.1007/s00603-025-04512-w,url_or_title,exact,existing
Sheet1,113,用于估计原位应力的岩心盘随机分析 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-009-0051-3,link.springer.com,10.1007/s00603-009-0051-3,url_or_title,,no,用于估计原位应力的岩心盘随机分析 |岩石力学和岩石工程,10.1007/s00603-009-0051-3,url_or_title,exact,existing
Sheet1,114,Lac du Bonnet 花岗岩的岩心盘及其与应力大小的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160909001749?via%3Dihub,www.sciencedirect.com,,,S1365160909001749,yes,Lac du Bonnet 花岗岩的岩心盘及其与应力大小的关系,10.1016/j.ijrmms.2009.11.007,crossref_pii,high,found
Sheet1,115,通过实验室测试对钻孔引起的岩芯损伤进行定量研究 |Acta Geotechnica,https://link.springer.com/article/10.1007/s11440-023-01917-1?fromPaywallRec=false,link.springer.com,10.1007/s11440-023-01917-1,url_or_title,,no,通过实验室测试对钻孔引起的岩芯损伤进行定量研究 |Acta Geotechnica,10.1007/s11440-023-01917-1,url_or_title,exact,existing
Sheet1,116,"松科2号井在4,500 m以下深度提取的岩心的盘片行为及机理 - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S1365160921003580?via%3Dihub,www.sciencedirect.com,,,S1365160921003580,yes,"松科2号井在4,500 m以下深度提取的岩心的盘片行为及机理",10.1016/j.ijrmms.2021.104976,crossref_pii,high,found
Sheet1,117,岩芯钻探引起的岩心直径变形和断裂的数值模拟 |阿拉伯地球科学杂志,https://link.springer.com/article/10.1007/s12517-021-09378-0?fromPaywallRec=false,link.springer.com,10.1007/s12517-021-09378-0,url_or_title,,no,岩芯钻探引起的岩心直径变形和断裂的数值模拟 |阿拉伯地球科学杂志,10.1007/s12517-021-09378-0,url_or_title,exact,existing
Sheet1,118,瑞士巴塞尔地热钻孔 4.9 km 深岩芯的直径岩芯变形评估和圆盘分析及其原位应力估计和应用 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-021-02631-8?fromPaywallRec=false,link.springer.com,10.1007/s00603-021-02631-8,url_or_title,,no,瑞士巴塞尔地热钻孔 4.9 km 深岩芯的直径岩芯变形评估和圆盘分析及其原位应力估计和应用 |岩石力学和岩石工程,10.1007/s00603-021-02631-8,url_or_title,exact,existing
Sheet1,119,通过 X 射线 CT 成像进行深岩芯直径变形和节理粗糙度评估的应力估计,https://www.mdpi.com/1424-8220/20/23/6802,www.mdpi.com,,,,yes,通过 X 射线 CT 成像进行深岩芯直径变形和节理粗糙度评估的应力估计,,unresolved,none,unresolved
Sheet1,120,利用X射线计算机断层扫描技术表征深岩心中开放和封闭岩石节理的表面粗糙度 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160917301594?via=ihub,www.sciencedirect.com,,,S1365160917301594,yes,利用X射线计算机断层扫描技术表征深岩心中开放和封闭岩石节理的表面粗糙度,10.1016/j.ijrmms.2017.07.001,crossref_pii,high,found
Sheet1,121,使用不同冷却介质进行热处理后花岗岩的物理力学性能 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005146,www.sciencedirect.com,,,S1674775524005146,yes,使用不同冷却介质进行热处理后花岗岩的物理力学性能,10.1016/j.jrmge.2024.10.010,crossref_pii,high,found
